Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-04;Vlaga 10;127;1.9.2017 16:00;27,5;0
WLT-04;Vlaga 11;128;1.9.2017 16:00;31,9;0
WLT-04;Vlaga 12;129;1.9.2017 16:00;27,8;0
WLT-05;Vlaga 13;127;1.9.2017 16:00;36,5;0
WLT-05;Vlaga 14;128;1.9.2017 16:00;38,2;0
WLT-05;Vlaga 15;129;1.9.2017 16:00;32,5;0
WLT-06;Vlaga 16;127;1.9.2017 16:00;30,6;0
WLT-06;Vlaga 17;128;1.9.2017 16:00;29,2;0
WLT-06;Vlaga 18;129;1.9.2017 16:00;32;0
WLT-01;Vlaga 01;127;1.9.2017 17:00;28,9;0
WLT-01;Vlaga 02;128;1.9.2017 17:00;30;0
WLT-01;Vlaga 03;129;1.9.2017 17:00;27,6;0
WLT-02;Vlaga 04;127;1.9.2017 17:00;27,3;0
WLT-02;Vlaga 05;128;1.9.2017 17:00;23,3;0
WLT-02;Vlaga 06;129;1.9.2017 17:00;24,1;0
WLT-03;Vlaga 07;127;1.9.2017 17:00;28,9;0
WLT-03;Vlaga 08;128;1.9.2017 17:00;30,5;0
WLT-03;Vlaga 09;129;1.9.2017 17:00;24,9;0
WLT-04;Vlaga 10;127;1.9.2017 17:00;27,7;0
WLT-04;Vlaga 11;128;1.9.2017 17:00;28,9;0
WLT-04;Vlaga 12;129;1.9.2017 17:00;28;0
WLT-05;Vlaga 13;127;1.9.2017 17:00;36,7;0
WLT-05;Vlaga 14;128;1.9.2017 17:00;38,2;0
WLT-05;Vlaga 15;129;1.9.2017 17:00;32,8;0
WLT-06;Vlaga 16;127;1.9.2017 17:00;31;0
WLT-06;Vlaga 17;128;1.9.2017 17:00;29,4;0
WLT-06;Vlaga 18;129;1.9.2017 17:00;35;0
WLT-01;Vlaga 01;127;1.9.2017 18:00;29;0
WLT-01;Vlaga 02;128;1.9.2017 18:00;30,2;0
WLT-01;Vlaga 03;129;1.9.2017 18:00;27,8;0
WLT-02;Vlaga 04;127;1.9.2017 18:00;27,4;0
WLT-02;Vlaga 05;128;1.9.2017 18:00;23,3;0
WLT-02;Vlaga 06;129;1.9.2017 18:00;24,3;0
WLT-03;Vlaga 07;127;1.9.2017 18:00;29;0
WLT-03;Vlaga 08;128;1.9.2017 18:00;30,5;0
WLT-03;Vlaga 09;129;1.9.2017 18:00;24,6;0
WLT-04;Vlaga 10;127;1.9.2017 18:00;27,9;0
WLT-04;Vlaga 11;128;1.9.2017 18:00;29,1;0
WLT-04;Vlaga 12;129;1.9.2017 18:00;28,1;0
WLT-05;Vlaga 13;127;1.9.2017 18:00;36,7;0
WLT-05;Vlaga 14;128;1.9.2017 18:00;38,2;0
WLT-05;Vlaga 15;129;1.9.2017 18:00;36,2;0
WLT-06;Vlaga 16;127;1.9.2017 18:00;34,7;0
WLT-06;Vlaga 17;128;1.9.2017 18:00;29,6;0
WLT-06;Vlaga 18;129;1.9.2017 18:00;34,9;0
WLT-01;Vlaga 01;127;1.9.2017 19:00;29,1;0
WLT-01;Vlaga 02;128;1.9.2017 19:00;30,2;0
WLT-01;Vlaga 03;129;1.9.2017 19:00;27,9;0
WLT-02;Vlaga 04;127;1.9.2017 19:00;27,6;0
